0,1,2,3,4,5,6,7,8,9
128.93,87.92,167.5,208.68,386.68,237.74,0.95,,214.06,196.05
95.37,,141.64,,222.41,,0.95,0.95,134.6,
46.08,53.06,253.52,263.8,182.03,283.09,0.95,,53.28,53.92
59.02,,113.04,,204.39,,0.95,0.95,59.67,
216.35,110.02,106.45,106.11,111.13,127.48,0.95,,461.54,440.69
165.27,,55.03,,44.44,,1.69,0.95,466.62,
184.34,173.64,56.36,54.82,40.89,39.99,0.95,,432.71,453.18
163.3,,215.71,,162.23,,0.77,0.95,409.57,
59.23,50.64,297.06,297.95,204.27,101.25,0.95,,60.56,60.13
69.58,,152.15,,178.61,,0.95,0.95,87.52,
196.27,216.35,274.84,285.82,204.89,154.68,0.95,,156.44,118.66
166.33,,57.26,,106.57,,0.95,0.95,421.01,
70.36,70.36,55.93,57.26,148.11,147.12,0.95,,322.34,330.53
72.62,,162.8,,87.83,,0.95,1.14,81.36,
72.38,72.13,292.0,78.49,118.66,136.06,0.95,,59.45,67.82
95.65,,70.12,,92.89,,0.95,,70.12,
139.49,,64.53,64.77,66.29,58.12,0.95,,282.23,
62.32,,57.26,,211.07,,1.11,,77.94,
68.06,,67.08,57.05,150.77,124.46,0.95,,77.11,
128.53,,139.49,,49.08,,0.95,,223.92,
95.65,,57.91,,39.82,38.5,0.95,,68.84,
140.35,,63.79,,195.44,,0.95,,271.38,
162.23,,124.86,,145.53,135.46,0.95,,410.81,
141.64,,65.8,,63.01,,0.95,,419.75,
161.74,,179.26,,65.8,66.05,0.95,,418.49,
222.41,,160.75,,161.24,,0.77,,418.49,
69.58,,149.84,,152.15,162.23,0.95,,104.66,
142.58,,348.42,,135.46,,0.8,,484.09,
171.46,,170.41,,153.2,198.52,0.95,,267.91,
70.36,,73.69,,85.26,,0.77,,141.54,
144.14,,151.69,,139.0,122.16,0.95,,190.3,
57.95,,180.36,,114.19,,0.95,,136.57,
207.08,,133.49,,60.13,68.31,0.95,,502.16,
439.71,,183.69,,231.95,,0.95,,176.48,
356.15,,45.31,,173.64,184.34,0.95,,440.3,
194.72,,248.18,,59.92,,0.95,,245.69,
188.47,,311.66,,68.6,59.92,0.95,,283.95,
161.74,,374.1,,103.55,,0.95,,422.27,
160.75,,229.03,,69.58,121.73,0.95,,421.01,
160.26,,226.16,,230.53,,0.95,,460.85,
160.26,,150.3,,346.09,460.85,0.95,,471.02,
118.33,,178.05,,140.78,,0.55,,221.74,
93.83,,138.98,,172.5,162.23,0.95,,114.14,
59.67,,158.7,,94.14,,0.95,,59.67,
224.56,,150.77,,95.06,95.37,0.95,,426.27,
200.47,,100.91,,56.36,,0.95,,400.6,
137.69,,55.72,,79.93,66.05,0.95,,241.23,
61.68,,292.44,,152.69,,0.65,,70.61,
65.88,,237.41,,164.28,158.21,0.95,,113.04,
82.19,,125.66,,190.32,,0.95,,285.11,
617.31,,75.12,,152.15,162.23,0.95,,258.06,
63.44,,82.51,,66.83,,0.95,,91.93,
201.7,,131.82,,57.48,58.37,0.95,,458.83,
54.39,,224.74,,140.35,,0.8,,218.57,
250.44,,78.22,,114.59,98.48,0.95,,503.25,
251.19,,219.03,,70.61,,0.95,,440.09,
1185.96,,112.23,,95.06,103.0,0.95,,453.18,
286.93,,168.23,,67.08,,0.37,,194.72,
221.06,,236.6,,59.02,58.8,0.95,,463.62,
187.88,,467.93,,138.98,,0.64,,229.82,
83.9,,174.64,,59.92,,0.64,,176.48,
59.67,,367.08,,65.31,,0.95,,69.09,
79.09,,175.19,,134.6,,0.95,,80.53,
183.23,,81.08,,67.08,,0.77,,1425.81,
220.37,,56.15,,127.73,,1.27,,258.63,
214.13,,66.54,,149.38,,0.95,,135.47,
100.51,,170.93,,129.4,,0.8,,217.69,
162.23,,195.76,,168.75,,0.95,,463.62,
208.69,,167.95,,128.53,,0.95,,281.36,
138.98,,157.63,,67.08,,0.95,,589.17,
163.3,,140.78,,149.38,,0.48,,523.86,
173.64,,205.79,,147.92,,0.55,,463.62,
213.77,,276.91,,67.82,,0.64,,462.23,
65.8,,182.03,,774.1,,1.11,,73.69,
220.04,,141.64,,68.23,,0.95,,129.28,
47.59,,201.7,,171.46,,,,52.59,
,,45.34,,210.43,,,,,
,,114.59,,180.36,,,,,
,,42.66,,114.51,,,,,
,,,,185.54,,,,,
,,,,138.98,,,,,
,,,,128.13,,,,,
,,,,127.73,,,,,
,,,,127.73,,,,,
,,,,106.45,,,,,
,,,,101.93,,,,,
,,,,57.05,,,,,
,,,,229.11,,,,,
,,,,304.68,,,,,
,,,,106.11,,,,,
,,,,59.45,,,,,
,,,,83.34,,,,,
,,,,169.26,,,,,
,,,,263.76,,,,,
,,,,70.36,,,,,
,,,,137.69,,,,,
,,,,124.14,,,,,
,,,,284.25,,,,,
,,,,241.07,,,,,
,,,,245.69,,,,,
,,,,183.11,,,,,
,,,,157.22,,,,,
,,,,135.46,,,,,
,,,,317.35,,,,,
,,,,74.24,,,,,
,,,,59.02,,,,,
,,,,198.52,,,,,
,,,,158.54,,,,,
,,,,139.24,,,,,
,,,,159.3,,,,,
,,,,128.53,,,,,
,,,,232.11,,,,,
,,,,559.28,,,,,
,,,,198.52,,,,,
,,,,187.88,,,,,
,,,,128.53,,,,,
,,,,54.17,,,,,
,,,,89.42,,,,,
,,,,50.4,,,,,
